IncidentNum,Date,Time,Mode,Injury,Depth,Species,Longitude,Latitude
1,10/08/1950,12:00,Swimming,major,surface,White,-117.1466667,32.58833333
2,05/27/1952,14:00,Swimming,minor,surface,White,-117.2466667,32.58833333
3,12/07/1952,14:00,Swimming,fatal,surface,White,-122.05,36.62666667
4,02/06/1955,12:00,Freediving,minor,surface,White,-122.15,36.62666667
5,08/14/1956,16:30,Swimming,major,surface,White,-120.6466667,35.13833333
6,04/28/1957,13:30,Swimming,fatal,surface,White,-120.875,35.40333333
7,10/12/1958,Unknown,Swimming,major,surface,White,-117.2166667,32.685
8,05/07/1959,17:30,Swimming,fatal,surface,White,-122.4836,37.7936
9,06/14/1959,17:00,Freediving,fatal,surface,White,-117.28,32.855
10,07/28/1959,19:30,Freediving,minor,surface,Hammerhead,-117.38,32.855
11,10/04/1959,15:00,Freediving,none,surface,White,-123.0466667,38.295
12,11/10/1959,10:30,Freediving,minor,surface,Blue,-118.7833333,34.01833333
13,04/24/1960,14:00,Freediving,minor,surface,White,-122.965,38.18166667
14,05/19/1960,13:00,Swimming,major,surface,White,-122.095,36.96
15,05/21/1961,8:30,Freediving,none,25,White,-123.065,38.18166667
16,08/20/1961,9:30,Swimming,major,surface,White,-123.0766667,38.35833333
17,01/14/1962,10:30,Scuba Diving,major,surface,White,-123.0316667,37.72
18,11/11/1962,12:45,Scuba Diving,major,surface,White,-123.1316667,37.72
19,01/11/1964,12:00,Scuba Diving,major,surface,White,-123.2316667,37.72
20,01/22/1966,11:00,Freediving,major,surface,White,-122.0423722,36.58333333
21,07/27/1968,11:00,Freediving,major,20,White,-123.1466667,38.295
NOT COUNTED,07/20/1969,,Freediving,minor*,surface*,Killer Whale,-122.4083333,37.19166667
23,09/06/1969,11:20,Freediving,major,surface,White,-123.165,38.18166667
24,07/19/1971,Unknown,Hookah Diving,major,20,White,-120.6416667,34.75833333
25,10/02/1971,14:00,Scuba Diving,major,15,White,-123.43,38.66666667
26,05/28/1972,13:30,Freediving,major,surface,White,-123.265,38.18166667
NOT COUNTED,09/09/1972,,Surfing / Boarding,major*,surface*,Killer Whale,-121.8966667,36.31333333
28,05/26/1974,11:30,Freediving,major,surface,White,-123.365,38.18166667
29,07/26/1974,Unknown,Freediving,minor,25,White,-123.7766667,39.22833333
30,08/05/1974,Unknown,Surfing / Boarding,minor,surface,White,-122.4083333,37.32333333
31,09/02/1974,17:30,Scuba Diving,minor,surface,White,-122.3666667,37.15
32,09/02/1974,17:30,Scuba Diving,minor,surface,White,-122.4666667,37.15
33,09/14/1974,13:35,Hookah Diving,major,28,White,-123.3316667,37.72
34,09/28/1974,7:30,Surfing / Boarding,major,surface,White,-121.9966667,36.31333333
35,07/19/1975,13:30,Hookah Diving,none,30,White,-120.475,34.45
36,07/23/1975,14:30,Scuba Diving,major,surface,White,-120.575,34.45
37,08/09/1975,13:30,Freediving,major,19,White,-123.8566667,39.82
38,12/06/1975,12:00,Scuba Diving,major,20,White,-123.4316667,37.72
39,10/18/1976,14:30,Surfing / Boarding,minor,surface,White,-124.1116667,41.025
40,10/18/1976,9:00,Hookah Diving,major,18,White,-120.4366667,34.04
41,08/14/1977,Unknown,Freediving,major,surface,White,-123.465,38.18166667
42,08/05/1978,12:45,Swimming,minor,surface,Unknown,-121.81,36.86
43,03/11/1979,10:00,Scuba Diving,none,20,White,-122.3433333,37.10833333
44,10/17/1980,9:30,Surfing / Boarding,none,surface,White,-124.2116667,41.025
45,12/19/1981,Unknown,Surfing / Boarding,fatal,surface,White,-122.25,36.62666667
46,02/07/1982,11:00,Scuba Diving,major,40,White,-123.305,38.54333333
47,07/24/1982,11:00,Paddleboarding,none,surface,White,-120.9066667,35.23666667
48,09/19/1982,Unknown,Freediving,major,12,White,-123.9333333,39.93333333
49,09/25/1982,8:00,Scuba Diving,minor,40,White,-121.9266667,36.52666667
50,09/15/1984,8:30,Freediving,fatal,surface,White,-122.5083333,37.19166667
51,09/17/1984,15:30,Swimming,minor,surface,Blue,-117.2566667,32.785
52,09/30/1984,10:00,Freediving,major,10,White,-123.565,38.18166667
53,02/18/1985,Unknown,Scuba Diving,minor,surface,White,-120.5366667,34.04
54,05/26/1985,11:00,Surfing / Boarding,minor,surface,Unknown,-118.1,33.75
55,09/28/1985,Unknown,Freediving,none,14,White,-123.665,38.18166667
56,10/22/1985,16:00,Hookah Diving,minor,15,Unknown,-120.675,34.45
57,12/06/1986,9:00,Freediving,major,38,White,-122.1266667,36.52666667
58,08/15/1987,7:30,Surfing / Boarding,minor,surface,White,-122.499,37.492
59,10/26/1987,17:00,Surfing / Boarding,minor,surface,White,-122.2533333,37.05
60,04/24/1988,Unknown,Surfing / Boarding,none,surface,White,-120.975,35.40333333
61,08/11/1988,9:00,Surfing / Boarding,minor,surface,White,-124.0883333,41.56166667
62,01/26/1989,10:15,Kayaking / Canoeing,fatal,surface,White,-118.8833333,34.01833333
NOT COUNTED,09/04/1989,11:00,Scuba Diving,major*,underwater,blue,,
63,09/09/1989,12:00,Hookah Diving,major,25,White,-123.5316667,37.72
64,01/12/1990,Unknown,Surfing / Boarding,none,surface,White,-122.5183333,37.55833333
65,08/28/1990,17:00,Surfing / Boarding,minor,surface,White,-124.15,41.05833333
66,09/05/1990,17:00,Kayaking / Canoeing,none,surface,White,-124.25,41.05833333
67,09/08/1990,13:00,Freediving,major,surface,White,-123.175,38.475
68,11/03/1990,15:00,Scuba Diving,major,surface,White,-122.2266667,36.52666667
69,07/01/1991,9:30,Surfing / Boarding,major,surface,White,-122.3533333,37.05
70,10/05/1991,7:30,Surfing / Boarding,major,surface,White,-122.4533333,37.05
71,10/09/1991,Unknown,Hookah Diving,none,25,White,-122.99694,37.983
72,12/04/1991,15:00,Hookah Diving,none,surface,White,-124.0833333,40.02833333
73,08/18/1992,20:15,Surfing / Boarding,none,surface,White,-124.1883333,41.56166667
74,10/29/1992,11:00,Hookah Diving,minor,47,White,-120.6366667,34.04
75,11/11/1992,14:00,Scuba Diving,minor,72,Unknown,-119.5383333,33.22666667
76,11/14/1992,13:00,Kayaking / Canoeing,none,surface,White,-122.4433333,37.10833333
77,11/29/1992,15:30,Freediving,minor,surface,Unknown,-117.6,33.37
78,03/12/1993,14:30,Freediving,none,15,White,-122.517,37.59666667
79,08/12/1993,14:00,Freediving,major,5,White,-123.785,39.66666667
80,10/10/1993,14:30,Kayaking / Canoeing,none,surface,White,-123.1333333,38.43666667
81,10/30/1993,16:30,Surfing / Boarding,major,surface,White,-124.2266667,40.77
82,12/09/1994,9:00,Hookah Diving,fatal,,White,-120.7366667,34.04
83,06/24/1995,Unknown,Kayaking / Canoeing,minor,surface,White,-117.48,32.855
84,06/30/1995,17:30,Scuba Diving,major,40,White,-122.0266667,36.52666667
85,09/03/1995,16:00,Freediving,major,surface,White,-124.1833333,40.02833333
86,09/28/1995,17:30,Surfing / Boarding,minor,surface,White,-122.5533333,37.05
87,08/13/1996,11:15,Freediving,major,18,White,-123.765,38.18166667
88,10/03/1996,7:30,Surfing / Boarding,none,surface,White,-123.1766667,38.35833333
89,10/05/1996,13:00,Surfing / Boarding,major,surface,White,-122.9716667,38.25
90,11/29/1996,8:30,Surfing / Boarding,minor,surface,White,-123.2766667,38.35833333
91,08/24/1997,Unknown,Surfing / Boarding,major,surface,White,-124.3116667,41.025
92,08/26/1998,14:15,Surfing / Boarding,major,surface,White,-122.645,37.89666667
93,11/15/1999,Unknown,Surfing / Boarding,none,surface,White,-122.28333,37.09583
94,09/29/2000,9:00,Surfing / Boarding,none,surface,White,-122.599,37.492
95,11/04/2000,16:30,Surfing / Boarding,major,surface,White,-124.3266667,40.77
NOT COUNTED,01/09/2001,Unknown,Surfing / Boarding,none*,surface,Blue*,-117.259,32.731
97,05/31/2002,14:00,Surfing / Boarding,major,surface,White,-122.745,37.89666667
98,09/21/2002,early am,Surfing / Boarding,none,surface,White,-124.4116667,41.025
99,11/28/2002,9:45,Surfing / Boarding,major,surface,White,-123.3766667,38.35833333
100,08/19/2003,8:30,Swimming,fatal,surface,White,-120.7,35.2
101,05/28/2004,11:00,Surfing / Boarding,none,surface,White,-123.4766667,38.35833333
102,06/26/2004,9:00,Surfing / Boarding,none,surface,White,-117.7,33.37
103,08/15/2004,16:30,Freediving,fatal,surface,White,-123.7783333,39.57833333
104,08/20/2004,17:30,Surfing / Boarding,minor,surface,White,-117.6198,33.45
105,10/01/2004,13:45,Surfing / Boarding,none,surface,White,-118,33.7
106,10/02/2004,15:30,Surfing / Boarding,none,surface,White,-120.7466667,35.13833333
107,10/10/2004,9:30,Surfing / Boarding,minor,surface,White,-122.886,38.024
108,11/11/2004,13:30,Surfing / Boarding,major,surface,White,-124.4266667,40.77
109,08/24/2005,11:00,Surfing / Boarding,minor,surface,White,-117.58,32.855
110,10/19/2005,11:00,Surfing / Boarding,major,surface,White,-123.5766667,38.35833333
111,10/21/2005,11:00,Surfing / Boarding,minor,surface,White,-124.2883333,41.56166667
112,11/02/2005,16:45,Surfing / Boarding,none,surface,White,-122.699,37.492
113,11/02/2005,7:15,Surfing / Boarding,none,surface,White,-122.518,37.74
114,01/18/2006,22:30,Surfing / Boarding,none,surface,White,-122.195,36.96
115,06/17/2006,11:10,Scuba Diving,none,submerged,White,-121.85,36.62666667
NOT COUNTED,07/29/2006,,Surfing / Boarding,major*,surface,Mako,,
116,12/10/2006,12:00,Surfing / Boarding,minor,surface,White,-123.0716667,38.25
117,06/30/2007,10:00,Swimming,minor,surface,Unknown,-118.54,34.03
118,07/17/2007,11:00,Swimming,minor,surface,Unknown,-119.391,34.318
119,07/21/2007,10:15,Kayaking / Canoeing,none,surface,White,-122.6083333,37.19166667
120,07/22/2007,9:00,Paddleboarding,none,surface,White,-118.9833333,34.01833333
121,07/28/2007,23:00,Surfing / Boarding,none,surface,Unknown,-117.3466667,32.58833333
122,08/28/2007,11:00,Surfing / Boarding,major,surface,White,-121.8,36.7
123,09/27/2007,12:00,Surfing / Boarding,none,surface,White,-124.5116667,41.025
124,09/30/2007,11:30,Surfing / Boarding,minor,surface,Unknown,-118.502,34.004
125,10/07/2007,20:30,Surfing / Boarding,minor,surface,Leopard,-118.469,33.978
126,03/07/2008,7:00,Surfing / Boarding,none,surface,White,-118.1,33.7
127,04/25/2008,7:00,Swimming,fatal,surface,White,-117.3,33.0
128,06/21/2008,9:00,Kayaking / Canoeing,none,surface,White,-118.4163,33.3879
129,09/08/2008,10:30,Surfing / Boarding,none,surface,White,-120.61,34.683
130,04/06/2009,7:00,Freediving,none,surface,White,-117.274,32.817
131,08/25/2009,16:30,Swimming,minor,surface,White,-117.3,33.1
132,08/30/2009,18:30,Surfing / Boarding,none,surface,White,-118.2,33.7
133,10/24/2009,17:30,Surfing / Boarding,minor,surface,Unknown,-117.8,33.37
134,11/05/2009,17:00,Surfing / Boarding,none,surface,White,-122.6533333,37.05
135,07/02/2010,15:15,Paddleboarding,none,surface,White,-117.9,33.37
136,07/02/2010,18:30,Surfing / Boarding,minor,surface,Leopard,-120.8466667,35.13833333
137,08/02/2010,12:40,Kayaking / Canoeing,none,surface,White,-120.122,34.397
138,08/14/2010,10:00,Kayaking / Canoeing,none,surface,White,-122.7083333,37.19166667
139,10/22/2010,9:00,Surfing / Boarding,fatal,surface,White,-120.71,34.683
140,06/06/2011,17:00,Freediving,none,surface,Sevengill,-117.68,32.855
141,06/24/2011,13:30,Surfing / Boarding,none,surface,White,-118,33.37
142,09/11/2011,12:30,Surfing / Boarding,none,surface,White,-124.204,40.8
143,10/29/2011,7:00,Surfing / Boarding,major,surface,White,-121.9,36.7
144,11/22/2011,11:30,Kayaking / Canoeing,none,surface,White,-122.8083333,37.19166667
145,05/06/2012,7:30,Paddleboarding,none,surface,White,-118.5163,33.3879
146,05/12/2012,13:30,Kayaking / Canoeing,none,surface,White,-121.122,35.583
147,07/07/2012,8:30,Kayaking / Canoeing,none,surface,White,-121.995,36.96
148,07/31/2012,6:45,Surfing / Boarding,minor,surface,Unknown,-118.6,34.0
149,10/07/2012,18:30,Surfing / Boarding,none,surface,White,-122.7533333,37.05
150,10/23/2012,11:00,Surfing / Boarding,fatal,surface,White,-120.81,34.683
151,10/30/2012,12:00,Surfing / Boarding,major,surface,White,-124.5266667,40.77
152,06/25/2013,16:00,Kayaking / Canoeing,none,surface,White,-122.617,37.59666667
153,08/17/2013,13:00,Surfing / Boarding,none,surface,White,-122.799,37.492
154,08/31/2013,23:00,Swimming,minor,surface,Salmon,-119.6492,34.4176
155,10/06/2013,8:30,Surfing / Boarding,major,surface,White,-124.6266667,40.77
156,07/05/2014,7:30,Surfing / Boarding,none,surface,White,-120.635,35.11
157,09/13/2014,18:45,Surfing / Boarding,none,surface,White,-122,36.7
158,10/02/2014,17:30,Surfing / Boarding,minor,surface,White,-120.64,34.76
159,10/03/2014,11:00,Kayaking / Canoeing,none,surface,White,-120.74,34.76
160,10/03/2014,14:00,Kayaking / Canoeing,none,surface,White,-120.84,34.76
161,10/19/2014,14:30,Kayaking / Canoeing,none,surface,White,-119.701,34.398
162,12/28/2014,11:30,Surfing / Boarding,major,surface,White,-120.892,35.276
163,07/10/2015,8:45,Surfing / Boarding,none,surface,White,-118.3,33.7
164,08/18/2015,7:30,Kayaking / Canoeing,none,surface,White,-120.21,34.367
165,08/29/2015,10:15,Surfing / Boarding,none,surface,White,-121.075,35.40333333
166,09/05/2015,15:00,Kayaking / Canoeing,minor,surface,Hammerhead,-118.9986,34.0514
167,09/06/2015,17:30,Paddleboarding,none,surface,White,-118.894,34.038
168,09/20/2015,11:00,Freediving,minor,surface,Hammerhead,-119.55,34.0
169,09/24/2015,11:00,Kayaking / Canoeing,minor,surface,White,-119.595,34.417
170,05/29/2016,15:00,Swimming,major,surface,White,-117.8755,33.5933
NOT COUNTED,07/15/2016,,Surfing / Boarding,none*,surface*,White,,
171,09/01/2016,9:00,Freediving,minor,surface,White,-120.075,34.46
172,09/17/2016,afternoon,Surfing / Boarding,none,surface,White,-124.7266667,40.77
173,03/18/2017,16:30,Kayaking / Canoeing,none,surface,White,-121.95,36.62666667
174,04/29/2017,17:30,Swimming,major,surface,White,-118.1,33.37
175,07/11/2017,11:00,Kayaking / Canoeing,none,surface,White,-121.895,36.96
176,07/20/2017,8:00,Paddleboarding,none,surface,White,-119.8,34.398
177,07/20/2017,11:15,Kayaking / Canoeing,none,surface,White,-119.9,34.398
178,08/01/2017,10:45,Kayaking / Canoeing,none,surface,White,-122.9083333,37.19166667
179,11/24/2017,13:30,Freediving,major,surface,White,-121.9423722,36.56425
180,12/30/2017,15:00,Surfing / Boarding,minor,surface,White,-122.9417,38.0278
181,06/25/2018,18:00,Kayaking / Canoeing,none,surface,Unknown,-117.430831,33.187739
NOT COUNTED,7/15/18,,Walking in shallow,minor*,surface*,Salmon,Not Used,
182,8/24/18,20:00,Swimming,none,surface,White,-118.4,33.7
NOT COUNTED,9/27/18,,Kayaking / Canoeing,none*,surface*,White,,
183,9/29/18,7:00,Freediving,major,surface,White,-117.3047,33.0652
184,10/23/18,10:00,Scuba Diving,major,Unkown,White,-123.6316667,37.72
185,1/8/19,14:00,Surfing / Boarding,major,surface,White,-120.992,35.276
186,5/7/19,Unknown,Surfing / Boarding,none,surface,White,-123.6766667,38.35833333
187,9/1/19,12:00,Surfing / Boarding,none,surface,Thresher,-117.4,33.0
188,10/5/19,8:00,Kayaking / Canoeing,none,surface,White,-118.4917,33.4625
189,12/21/19,15:15,Surfing / Boarding,major,surface,White,-120.23333,34.01667
190,3/27/20,19:00,Paddleboarding,none,surface,White,-122.095,36.96
NOT COUNTED,4/28/20,,Surfing / Boarding,minor*,surface*,Unknown,,
191,5/1/20,14:30,Swimming,minor,surface,White,-119.695,34.41333
192,5/9/20,13:30,Surfing / Boarding,fatal,surface,White,-121.8558,36.919966
193,5/25/20,7:30,Kayaking / Canoeing,none,surface,White,-124.283333,40.028333
194,6/19/20,16:00,Scuba Diving,none,35',White,-119.52207,34.034931
195,8/12/20,17:42,Freediving,minor,surface,White,-118.4089628,33.79
196,8/28/20,17:00,Kayaking / Canoeing,none,surface,White,-124.383333,40.028333
197,12/30/20,14:00,Swimming,none,surface,White,-117.316667,32.685
198,6/26/21,9:00,Freediving,major,surface,White,-122.615003,37.564967
199,6/30/21,7:15,Kayaking / Canoeing,minor,surface,White,-118.55,33.47
200,7/5/21,9:15,Kayaking / Canoeing,none,surface,White,-121.222,35.583
201,7/22/21,11:15,Surfing / Boarding,none,surface,Unknown,-121.7917,36.8076
202,10/3/21,9:00,Surfing / Boarding,major,surface,White,-123.7766667,38.35833333
203,12/22/21,16:00,Surfing / Boarding,none,surface,White,-123.8766667,38.35833333
204,12/24/21,10:40,Surfing / Boarding,fatal,surface,White,-121.175,35.40333333
205,2/26/22,11:30,Scuba Diving,major,surface,White,-120.8366667,34.04
